_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,quantile_critic,num-parallel-envs
9634,-17.662,generous-sweep-1,12,sac,strong,True,250000,True,8
9636,-17.662,generous-sweep-1,12,sac,strong,True,250000,True,8
9669,-17.675,generous-sweep-1,12,sac,strong,True,250000,True,8
9682,-17.673,generous-sweep-1,12,sac,strong,True,250000,True,8
9752,-17.684,generous-sweep-1,12,sac,strong,True,250000,True,8
9755,-17.684,generous-sweep-1,12,sac,strong,True,250000,True,8
9790,-17.684,generous-sweep-1,12,sac,strong,True,250000,True,8
9837,-17.684,generous-sweep-1,12,sac,strong,True,250000,True,8
9853,-17.684,generous-sweep-1,12,sac,strong,True,250000,True,8
9884,-17.667,generous-sweep-1,12,sac,strong,True,250000,True,8
9910,-17.669,generous-sweep-1,12,sac,strong,True,250000,True,8
9934,-17.703,generous-sweep-1,12,sac,strong,True,250000,True,8
9994,-17.753,generous-sweep-1,12,sac,strong,True,250000,True,8
10030,-17.778,generous-sweep-1,12,sac,strong,True,250000,True,8
10076,-17.729,generous-sweep-1,12,sac,strong,True,250000,True,8
10098,-17.724,generous-sweep-1,12,sac,strong,True,250000,True,8
10105,-17.724,generous-sweep-1,12,sac,strong,True,250000,True,8
10106,-17.716,generous-sweep-1,12,sac,strong,True,250000,True,8
10107,-17.716,generous-sweep-1,12,sac,strong,True,250000,True,8
10153,-17.716,generous-sweep-1,12,sac,strong,True,250000,True,8
10160,-17.75,generous-sweep-1,12,sac,strong,True,250000,True,8
10164,-17.75,generous-sweep-1,12,sac,strong,True,250000,True,8
10167,-17.75,generous-sweep-1,12,sac,strong,True,250000,True,8
